Skip to main content
opens in new tab or window
Historic Designations and Districts
View Full Screen Map
jasujazumdinski
List of City of Pittsburgh Designated Sites and Districts
Full List of City-Designated Properties(PDF, 213KB)
Previous column Next column
| 412 Boulevard of the Allies | Individual | Downtown | 412 Boulevard of the Allies Nomination412 Boulevard of the Allies January 4, 2023 |
| Aberlie House | Individual | Central Northside | Aberlie House 02-06-01 |
| Abrams House | Individual | Squirrel Hill | Abrams House NominationAbrams House Not approved by City Council |
| Allegheny Commons Park Historic District | District | Allegheny CenterAllegheny West | Allegheny Commons Park Map(PDF, 126KB)Allegheny Commons Park Design Guidelines(PDF, 18KB) |
| Allegheny County Mortuary | Individual | Downtown | Allegheny County Mortuary 09-25-02 |
| Allegheny West Historic District | District | Allegheny West | Allegheny West Map(PDF, 77KB)Allegheny West Design Guidelines(PDF, 52KB) |
| Alpha Terrace Historic District | District | East Liberty | Alpha Terrace Map(PDF, 52KB)Alpha Terrace Design Guidelines(PDF, 32KB) |
| Bayard School | Individual | Lawrenceville | Bayard School Nomination(PDF, 2MB) |
| Beth Abraham Cemetery | Individual | Carrick | Beth Abraham Cemetery Nomination(PDF, 6MB)Beth Abraham Cemetery Guidelines(PDF, 114KB)Beth Abraham Cemetery 05-21-24 |
| The Bradberry | Individual | Central Northside | The Bradberry Nomination(PDF, 8MB) |
| B'nai Israel Synagogue | Individual | Garfield | B'nai Israel Synagogue Nomination(PDF, 10MB) |
| Card Carriage House | Individual | Point Breeze | Card Carriage House Nomination(PDF, 13MB) |
| Carnegie Library - Hazelwood Branch | Individual | Hazelwood | Carnegie Library - Hazelwood Branch 07-23-04 |
| Carnegie Library - Homewood Branch | Individual | Homewood South | Carnegie Library - Hazelwood Branch 07-23-04 |
| Carnegie Library - Lawrenceville Branch | Individual | Central Lawrenceville | Carnegie Library - Lawrenceville Branch 07-23-04 |
| Carnegie Library - Mount Washington Branch | Individual | Mount Washington | Carnegie Library - Mount Washington Branch 07-23-04 |
| Carnegie Library - West End Branch | Individual | West End | Carnegie Library - West End Branch 07-23-04 |
| Carol Peterson House | Individual | Lawrenceville | Carol Peterson House Nomination(PDF, 6MB) |
| Catahecassa | Individual | Schenley Park | Catahecassa Nomination(PDF, 16MB) |
| City County Building | Individual | Downtown | City County Building Nomination(PDF, 11MB)City County Building 03-13-20 |
| Deutschtown Historic District | District | East Allegheny | Deutschtown Map(PDF, 75KB)Deutschtown Design Guidelines(PDF, 37KB) |
| East Carson Street Historic District | District | South Side Flats | East Carson Street Map(PDF, 209KB)East Carson Street Sign Guidelines(PDF, 57KB)East Carson Street Design Guidelines(PDF, 43KB) |
| Ella and Emil Keller House | Individual | North Point Breeze | Ella and Emil Keller House Nomination(PDF, 8MB)Ella and Emil Keller House 12-16-23 |
| Engine Company 28 | Individual | Shadyside | Engine Company 28 Nomination(PDF, 3MB) |
| Ewalt House | Individual | Lawrenceville | Ewalt House Nomination(PDF, 7MB)Ewalt House Not approved by City Counci l |
| Ferris House (formerly George Washington Gale Fer) | Individual | Central Northside | Ferris House 06-22-01 |
| Frick Park | Individual | Point BreezeSquirrel HillSwisshelm ParkRegent Park | Frick Park Nomination(PDF, 5MB)Frick Park 03-06-24 |
| Gallagher Kieffer House | Individual | Oakland | Gallagher Kieffer House Nomination(PDF, 4MB)Gallagher Kieffer House 12-01-20 |
| Hanauer-Rosenberg Residence | Individual | East Allegheny | Hanauer-Rosenberg Residence Nomination(PDF, 4MB)Hanauer-Rosenberg Residence 10-28-20 |
| Heathside Cottage | Individual | Fineview | Heathside Cottage Nomination(PDF, 2MB) |
| Herron Hill Pump Station | Individual | North Oakland | Herron Hill Pump Station Nomination(PDF, 6MB)Herron Hill Pump Station 12-01-2020 |
| Holy Family Church | Individual | Central Lawrenceville | Holy Family Church Nomination(PDF, 7MB) |
| Howe Springs | Individual | Squirrel Hill North | Howe Springs Nomination(PDF, 63MB) |
| Hunt Armory | Individual | Shadyside | Hunt Armory Nomination(PDF, 5MB) |
| Immanuel Church | Individual | East Allegheny | Immanuel Church Nomination(PDF, 26MB) |
| J&amp;L Steel Headquarters (Former)John P. Robin Civic Building | Individual | Downtown | J&amp;L Steel Headquarters Nomination(PDF, 4MB)J&amp;L Steel Headquarters 10-28-20 |
| Lemmon Row Historic District | District | Central Northside | Lemmon Row Map(PDF, 174KB) |
| Manchester Historic District | District | Manchester | Manchester Map(PDF, 138KB)Manchester Guidelines(PDF, 160KB)Guideline updates scheduled for 2025 |
| Market Square Historic District | District | Downtown | Market Square Map(PDF, 54KB)Market Square Guidelines(PDF, 42KB) |
| Mellon Arena | Individual | Downtown | Mellon Arena Not approved by City Council |
| Mellon Bank (East Liberty) | Individual | East Liberty | Mellon Bank Nomination(PDF, 10MB)Mellon Bank Not approved by City Council |
